Reference,Assay,Assay
9239396,Positive,6
9239396,Positive,1
9239396,Positive,1
9239396,Positive,5
9239396,Positive,7
9239396,Positive,4
9239396,Positive,4
9239396,Positive,3
9239396,Positive,4
16547235,Positive,
16547235,Positive,
16547235,Positive,
16547235,Positive,
11451178,Positive,12
11451178,Positive,
11451178,Positive,12
11451178,Positive,
7600289,Positive,
10488697,Positive,
10488697,Positive,5
10488697,Positive,
10488697,Positive,10
10488697,Positive,10
10488697,Positive,3
10488697,Positive,10
10488697,Positive,
10488697,Positive,10
10488697,Positive,8
10488697,Positive,
10488697,Positive,10
11006009,Positive,9
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
,Positive,
17251571,Positive,
17251571,Positive,
17251571,Positive,
17251571,Positive,
17251571,Positive,
17251571,Positive,
17251571,Positive,
17251571,Positive,
17251571,Positive,
17251571,Positive,
17251571,Positive,
16837112,Positive,
16837112,Positive,
16837112,Positive,
17291638,Positive,8
17291638,Positive,8
17291638,Positive,8
17291638,Positive,8
17291638,Positive,8
17291638,Positive,8
17291638,Positive,8
17291638,Positive,7
17291638,Positive,7
17291638,Positive,4
17291638,Positive,4
17291638,Positive,4
17291638,Positive,4
17291638,Positive,2
17291638,Positive,2
17291638,Positive,
17291638,Positive,
17116980,Positive,9
16859951,Positive,6
17116980,Positive,8
17116980,Positive,10
17116980,Positive,9
17116980,Positive,8
17116980,Positive,10
17116980,Positive,9
17116980,Positive,9
17116980,Positive,7
17116980,Positive,
17116980,Positive,
17116980,Positive,
17116980,Positive,
17116980,Positive,
17116980,Positive,
16859951,Positive,6
17116980,Positive,
17326762,Positive,
17326762,Positive,
17326762,Positive,
17326762,Positive,
17326762,Positive,
17326762,Positive,
17326762,Positive,
17326762,Positive,
17326762,Positive,
17326762,Positive,
17326762,Positive,
17326762,Positive,
17326762,Positive,
17326762,Positive,
17326762,Positive,
17326762,Positive,
17326762,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,
17225159,Positive,1
17225159,Positive,2
17225159,Positive,1
17225159,Positive,2
17225159,Positive,1
17225159,Positive,2
17225159,Positive,1
17225159,Positive,1
17225159,Positive,3
17225159,Positive,3
17225159,Positive,4
17225159,Positive,1
17225159,Positive,2
17225159,Positive,3
17225159,Positive,1
17225159,Positive,1
15039371,Positive,8
15039371,Positive,8
15039371,Positive,8
15039371,Positive,8
15039371,Positive,8
15039371,Positive,8
15039371,Positive,8
15039371,Positive,8
15039371,Positive,4
15039371,Positive,4
15039371,Positive,4
15039371,Positive,4
12737989,Positive,2
16879036,Positive,8
12737989,Positive,2
16879036,Positive,9
16879036,Positive,9
16879036,Positive,9
16879036,Positive,9
16879036,Positive,17
16879036,Positive,9
16879036,Positive,9
16879036,Positive,17
16879036,Positive,9
16879036,Positive,17
16879036,Positive,9
16879036,Positive,17
16879036,Positive,9
16879036,Positive,17
16879036,Positive,17
16879036,Positive,9
16879036,Positive,9
16879036,Positive,8
16879036,Positive,5
16879036,Positive,8
16879036,Positive,7
16879036,Positive,5
16879036,Positive,5
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,8
15848276,Positive,6
15848276,Positive,6
15848276,Positive,6
15848276,Positive,
15848276,Positive,
15848276,Positive,
9311821,Positive,2
9311821,Positive,4
9311821,Positive,4
9311821,Positive,
9311821,Positive,
9311821,Positive,
9257848,Positive,
9257848,Positive,
9257848,Positive,
8773582,Positive,
9727076,Positive,18
16879036,Positive,8
16879036,Positive,8
9727076,Positive,1
9727076,Positive,1
9727076,Positive,21
9727076,Positive,7
9727076,Positive,13
9727076,Positive,4
9727076,Positive,4
9727076,Positive,18
9727076,Positive,4
9727076,Positive,21
9727076,Positive,4
9521052,Positive,
9521052,Positive,
9521052,Positive,
9521052,Positive,
9521052,Positive,
9521052,Positive,
9521052,Positive,
9521052,Positive,
9521052,Positive,
9521052,Positive,
9521052,Positive,
9521052,Positive,
9521052,Positive,
9521052,Positive,
8971014,Positive,
8971014,Positive,
9658107,Positive,
9658107,Positive,3
9658107,Positive,
10843661,Positive,
10843661,Positive,
10843661,Positive,
10843661,Positive,
10843661,Positive,
10843661,Positive,
15287944,Positive,4
15287944,Positive,4
15287944,Positive,4
15287944,Positive,2
15287944,Positive,4
15287944,Positive,2
16850281,Positive,37
11792066,Positive,3
11792066,Positive,
11792066,Positive,
12938200,Positive,5
12938200,Positive,10
11328306,Positive,11
11328306,Positive,14
11328306,Positive,
11328306,Positive,
14550813,Positive,24
14550813,Positive,24
14550813,Positive,15
14550813,Positive,
16212532,Positive,8
12057851,Positive,8
12057851,Positive,
12057851,Positive,3
11160752,Positive,
11160752,Positive,
9120290,Positive,1
9120290,Positive,1
9120290,Positive,9
9120290,Positive,1
9120290,Positive,1
9120290,Positive,1
9120290,Positive,1
9120290,Positive,1
9120290,Positive,1
9120290,Positive,2
9120290,Positive,1
9120290,Positive,1
9120290,Positive,2
9120290,Positive,2
9120290,Positive,2
9120290,Positive,1
11961268,Positive,
11961268,Positive,7
11961268,Positive,7
11961268,Positive,7
11961268,Positive,7
11961268,Positive,
11560998,Positive,
11560998,Positive,
11560998,Positive,
11560998,Positive,
11560998,Positive,
11560998,Positive,
17429413,Positive,16
17429413,Positive,16
17429413,Positive,17
17429413,Positive,17
17429413,Positive,31
17429413,Positive,31
17429413,Positive,17
17429413,Positive,14
17429413,Positive,31
17429413,Positive,14
17429413,Positive,16
17429413,Positive,7
17429413,Positive,14
17429413,Positive,30
17429413,Positive,13
17429413,Positive,6
17429413,Positive,12
17429413,Positive,14
17429413,Positive,6
17429413,Positive,13
17429413,Positive,16
11560998,Positive,
11560998,Positive,
11560998,Positive,
11560998,Positive,
11560998,Positive,
11560998,Positive,
11560998,Positive,
9233635,Positive,8
16160916,Positive,
16160916,Positive,
16160916,Positive,
16160916,Positive,
16160916,Positive,
16160916,Positive,
16160916,Positive,
16160916,Positive,3
16160916,Positive,3
12165524,Positive,22
12165524,Positive,19
12165524,Positive,3
12165524,Positive,4
12165524,Positive,3
12165524,Positive,
12142557,Positive,
12142557,Positive,
12142557,Positive,
12142557,Positive,
12142557,Positive,
11591805,Positive,3
11591805,Positive,3
11591805,Positive,3
11591805,Positive,3
11591805,Positive,3
11591805,Positive,3
11591805,Positive,3
11591805,Positive,3
11591805,Positive,3
11591805,Positive,3
11591805,Positive,3
11591805,Positive,2
8837608,Positive,17
8837608,Positive,17
8837608,Positive,17
8837608,Positive,17
